OMIM:146200,PTH
OMIM:146255,GATA3
OMIM:146300,ALPL
OMIM:146500,COQ2
OMIM:146510,GLI3
OMIM:146520,CDSN
OMIM:146550,HRURF
OMIM:146590,KRT1
OMIM:146700,FLG
OMIM:146750,ASPRV1
OMIM:146800,KRT2
OMIM:147060,STAT3
OMIM:147250,SHH
OMIM:147430,ZFHX2
OMIM:147480,ATP8B1
OMIM:147630,MAFA
OMIM:147750,SALL4
OMIM:147891,TBX4
OMIM:147950,FGFR1
OMIM:148000,IL6
OMIM:148050,ANKRD11
OMIM:148190,PAX6
OMIM:148200,NLRP3
OMIM:148300,VSX1
OMIM:148370,CTSB
OMIM:148500,RHBDF2
OMIM:148600,AAGAB
OMIM:148700,DSG1
OMIM:148820,PAX3
OMIM:149200,GJB2
OMIM:149700,IGSF3
OMIM:150250,FLNB
OMIM:150400,WNT10A
OMIM:150550,WDR1
OMIM:150600,COL2A1
OMIM:150800,FH
OMIM:151050,PTDSS1
OMIM:151210,COL2A1
OMIM:151600,PLCD1
OMIM:151660,LMNA
OMIM:152950,KIF11
OMIM:153100,FLT4
OMIM:153400,FOXC2
OMIM:153550,RPS14
OMIM:153600,MYD88
OMIM:153670,GP1BA
OMIM:153700,BEST1
OMIM:153800,ABCA4
OMIM:153870,IMPG1
OMIM:154020,FXYD2
OMIM:154400,SF3B4
OMIM:154700,FBN1
OMIM:154780,COL11A1
OMIM:154800,KIT
OMIM:155100,MYH9
OMIM:155310,ACTG2
OMIM:155500,PIK3CA
OMIM:155601,CDKN2A
OMIM:155755,CDKN2A
OMIM:155950,MAP2K1
OMIM:156200,MBD5
OMIM:156250,PTPN11
OMIM:156400,PTH1R
OMIM:156500,COL10A1
OMIM:156510,RUNX2
OMIM:156530,TRPV4
OMIM:156550,COL2A1
OMIM:157170,SIX3
OMIM:157600,DCC
OMIM:157800,MAP3K7
OMIM:158300,MYH8
OMIM:158310,SREBF1
OMIM:158330,WNT4
OMIM:158580,SLC5A7
OMIM:158590,HSPB8
OMIM:158600,DYNC1H1
OMIM:158900,FRG1
OMIM:158901,SMCHD1
OMIM:159550,SAMD9L
OMIM:159900,SGCE
OMIM:159950,ASAH1
OMIM:160120,KCNA1
OMIM:160500,MYH7
OMIM:160800,CLCN1
OMIM:160900,DMPK
OMIM:160980,PRKAR1A
OMIM:161000,KRT14
OMIM:161050,FZD6
OMIM:161200,LMX1B
OMIM:161400,HCRT
OMIM:161800,ACTA1
OMIM:162000,UMOD
OMIM:162100,SEPTIN9
OMIM:162200,NF1
OMIM:162210,NF1
OMIM:162300,RET
OMIM:162350,DNAJC5
OMIM:162400,SPTLC1
OMIM:162500,PMP22
OMIM:162800,ELANE
OMIM:163000,GNAQ
OMIM:163500,PDE6B
OMIM:163800,HCN4
OMIM:164200,GJA1
OMIM:164280,MYCN
OMIM:164300,PABPN1
OMIM:164310,LRP12
OMIM:164400,ATXN1
